AAPL, AMZN, GOOG, MSFT, NVDA, Return,Std,Sharpe Ratio
0.169158,0.236755,0.186716,0.361403,0.045968,0.382509,0.186560,1.816626
0.197968,0.322261,0.080193,0.294327,0.105251,0.420850,0.195838,1.926332
0.057695,0.083204,0.342943,0.431563,0.084595,0.443149,0.196737,2.030882
0.201525,0.011417,0.354037,0.268663,0.164359,0.478314,0.201548,2.156874
0.253387,0.013871,0.249817,0.267183,0.215742,0.498798,0.204500,2.225904
0.194976,0.196386,0.476920,0.015508,0.116209,0.470226,0.215939,1.975676
0.016491,0.285568,0.474417,0.097721,0.125804,0.519713,0.229139,2.077833
0.180062,0.201624,0.147508,0.167362,0.303443,0.589895,0.230456,2.370498
0.107136,0.109218,0.394967,0.017799,0.370880,0.684265,0.258469,2.478691
0.040866,0.367063,0.073057,0.106112,0.412902,0.713582,0.275455,2.432277
Efficient frontier:
0.169158,0.236755,0.186716,0.361403,0.045968,0.382509,0.186560,1.816626
0.197968,0.322261,0.080193,0.294327,0.105251,0.420850,0.195838,1.926332
0.057695,0.083204,0.342943,0.431563,0.084595,0.443149,0.196737,2.030882
0.201525,0.011417,0.354037,0.268663,0.164359,0.478314,0.201548,2.156874
0.253387,0.013871,0.249817,0.267183,0.215742,0.498798,0.204500,2.225904
0.016491,0.285568,0.474417,0.097721,0.125804,0.519713,0.229139,2.077833
0.180062,0.201624,0.147508,0.167362,0.303443,0.589895,0.230456,2.370498
0.107136,0.109218,0.394967,0.017799,0.370880,0.684265,0.258469,2.478691
0.040866,0.367063,0.073057,0.106112,0.412902,0.713582,0.275455,2.432277
