AAPL, AMZN, GOOG, MSFT, NVDA, return, volatility, sharp ratio, 
0.184147, 0.225778, 0.086367, 0.330416, 0.173292, 0.473516, 0.201897, 2.129380, 
0.079599, 0.196498, 0.050320, 0.498439, 0.175144, 0.487998, 0.207003, 2.146818, 
0.117707, 0.169718, 0.271296, 0.258559, 0.182720, 0.512833, 0.209051, 2.244582, 
0.405305, 0.126644, 0.128082, 0.335257, 0.004712, 0.285737, 0.173736, 1.393705, 
0.378993, 0.029756, 0.133750, 0.080512, 0.376989, 0.597607, 0.239787, 2.310412, 
0.156047, 0.168168, 0.309806, 0.054675, 0.311305, 0.618838, 0.239131, 2.405536, 
0.347000, 0.244803, 0.149024, 0.053050, 0.206123, 0.479678, 0.208481, 2.091692, 
0.275204, 0.089055, 0.282471, 0.303558, 0.049712, 0.364962, 0.182248, 1.763325, 
0.064651, 0.089769, 0.207609, 0.312238, 0.325733, 0.628863, 0.236795, 2.471607, 
0.044284, 0.379363, 0.111767, 0.175181, 0.289404, 0.614592, 0.244961, 2.330946, 
0.130406, 0.087026, 0.353159, 0.262729, 0.166680, 0.500192, 0.206531, 2.210763, 
0.197886, 0.367823, 0.301264, 0.106790, 0.026238, 0.386033, 0.200800, 1.705344, 
0.202326, 0.065425, 0.265799, 0.348862, 0.117588, 0.432083, 0.190369, 2.040690, 
0.097298, 0.317594, 0.239121, 0.049484, 0.296503, 0.621333, 0.244288, 2.364967, 
0.282071, 0.118323, 0.376973, 0.134830, 0.087803, 0.410282, 0.195414, 1.876437, 
0.367426, 0.176455, 0.041868, 0.081864, 0.332386, 0.563002, 0.231708, 2.241621, 
0.423696, 0.262641, 0.023473, 0.276527, 0.013662, 0.288106, 0.178077, 1.373035, 
0.217777, 0.004631, 0.537004, 0.084141, 0.156448, 0.491133, 0.217710, 2.055641, 
0.008839, 0.274882, 0.181157, 0.291038, 0.244083, 0.582989, 0.230349, 2.341619, 
0.298143, 0.377293, 0.152876, 0.137609, 0.034079, 0.355499, 0.191027, 1.632745, 
0.102603, 0.081363, 0.336478, 0.098445, 0.381110, 0.683988, 0.255401, 2.507382, 
0.239399, 0.026972, 0.345393, 0.280635, 0.107600, 0.423375, 0.191915, 1.978868, 
0.266893, 0.178534, 0.264078, 0.281750, 0.008745, 0.337244, 0.181156, 1.620942, 
0.371300, 0.096074, 0.015775, 0.350481, 0.166369, 0.411915, 0.192329, 1.915023, 
0.131220, 0.323242, 0.016638, 0.321123, 0.207776, 0.512214, 0.216829, 2.161212, 
0.254006, 0.206317, 0.180042, 0.015314, 0.344321, 0.614806, 0.241284, 2.367363, 
0.188043, 0.055363, 0.335491, 0.325517, 0.095585, 0.424206, 0.191372, 1.988824, 
0.212762, 0.287316, 0.173658, 0.168352, 0.157913, 0.471360, 0.204310, 2.093682, 
0.217569, 0.038604, 0.287174, 0.137041, 0.319612, 0.600196, 0.231624, 2.403019, 
0.285487, 0.062846, 0.044463, 0.296637, 0.310568, 0.550891, 0.222761, 2.277291, 
0.168612, 0.071124, 0.243253, 0.182271, 0.334740, 0.619531, 0.235604, 2.444494, 
0.113942, 0.100906, 0.284447, 0.377390, 0.123315, 0.459194, 0.196517, 2.114792, 
0.257375, 0.140564, 0.258491, 0.240157, 0.103413, 0.415065, 0.189619, 1.959007, 
0.287264, 0.341333, 0.319777, 0.001121, 0.050505, 0.389535, 0.202150, 1.711280, 
0.024657, 0.348842, 0.124761, 0.483252, 0.018488, 0.388612, 0.198583, 1.737368, 
0.076547, 0.362061, 0.109094, 0.142081, 0.310217, 0.624190, 0.246846, 2.352031, 
0.053937, 0.264147, 0.284973, 0.292880, 0.104063, 0.468369, 0.205814, 2.063850, 
0.340160, 0.026156, 0.202765, 0.128433, 0.302486, 0.550552, 0.222193, 2.281581, 
